code,en
title_order_completed,Your order is successfully completed!
title_order_copy,Order Copy
title_order_history,Order History
title_order_id,Order ID
title_order_information,Order Information
title_order_items,Order Items
title_order_status,Order Status
title_order_statuses,Order Statuses
title_order_success,Order Success
title_order_success_modules,Order Success Modules
title_order_summary,Order Summary
title_order_total,Order Total
title_order_total_modules,Order Total Modules
title_output,Output
title_packing_slip,Packing Slip
title_pages,Pages
title_page_capture_time,Page Capture Time
title_page_parse_time,Page Parse Time
title_parent_category,Parent Category
title_password,Password
title_payment,Payment
title_payment_address,Payment Address
title_payment_due,Payment Due
title_payment_fees,Payment Fees
title_payment_information,Payment Information
title_payment_method,Payment Method
title_payment_modules,Payment Modules
title_payment_option,Payment Option
title_phone,Phone
title_phones,Phones
title_phone_country_code,Phone Country Code
title_popularity,Popularity
title_postcode,Postcode
title_postcode_format,Postcode Format
title_prefix,Prefix
title_previous,Previous
title_price,Price
title_prices,Prices
title_price_adjust,Price Adjust
title_price_incl_tax,Price Incl. Tax
title_price_operator,Price Operator
title_priority,Priority
title_product,Product
title_products,Products
title_product_groups,Product Groups
title_product_images,Product Images
title_purchase_price,Purchase Price
title_qty,Qty
title_quantity,Quantity
title_quantity Unit,Quantity Unit
title_quantity_units,Quantity Units
title_range,Range
title_rate,Rate
title_raw_date_format,Raw Date Format
title_raw_time_format,Raw Time Format
title_recently_viewed,Recently Viewed
title_redirecting,Redirecting
title_reference,Reference
title_regional_settings,Regional Settings
title_remember_me,Remember Me
title_remove,Remove
title_reports,Reports
title_required,Required
title_root,Root
title_rows,Rows
title_rule,Rule
title_run_now,Run Now
title_sales,Sales
title_save,Save
title_save_changes,Save Changes
title_scan,Scan
title_scan_files,Scan Files
title_scan_files_for_translations,Scan Files For Translations
title_screen,Screen
title_search_results,Search Results
title_search_results_for_s,Search Results for &quot;%s&quot;
title_search_translations,Search Translations
title_select,Select
title_selected,Selected
title_send,Send
title_send_email_order_copy,Send email order copy
title_settings,Settings
title_shipping,Shipping
title_shipping_address,Shipping Address
title_shipping_fees,Shipping Fees
title_shipping_information,Shipping Information
title_shipping_modules,Shipping Modules
title_shipping_option,Shipping Option
title_shipping_tracking_id,Shipping Tracking ID
title_shipping_weight,Shipping Weight
title_short_description,Short Description
title_similar_products,Similar Products
title_sku,SKU
title_slides,Slides
title_sold_out,Sold Out
title_sold_out_status,Sold Out Status
title_sold_out_statuses,Sold Out Statuses
title_sort,Sort
title_start_date,Start Date
title_statistics,Statistics
title_status,Status
title_stock_status,Stock Status
title_storage_encoding,Storage Encoding
title_stores,Stores
title_store_currency,Store Currency
title_store_hours,Store hours
title_store_language,Store Language
title_subject,Subject
title_subscribe,Subscribe
title_subtotal,Subtotal
title_suffix,Suffix
title_sum,Sum
title_supplier,Supplier
title_suppliers,Suppliers
title_syntax,Syntax
title_system_locale,System Locale
title_s_days,%s days
title_s_months,%s months
title_taric,TARIC
title_tax,Tax
title_tax_class,Tax Class
title_tax_classes,Tax Classes
title_tax_classs,Tax Classes
title_tax_id,Tax ID
title_tax_id_format,Tax ID Format
title_tax_rates,Tax Rates
title_template,Template
title_template_settings,Template Settings
title_thousands_sep,Thousands Separator
title_time_format,Time Format
title_title,Title
title_total,Total
title_total_amount,Total Amount
title_total_sales,Total Sales
title_tracking_id,Tracking ID
title_transaction_id,Transaction ID
title_transaction_number,Transaction Number
title_translations,Translations
title_true,True
title_type,Type
title_uncompleted,Uncompleted
title_uninstall,Uninstall
title_unit_cost,Unit Cost
title_unit_price,Unit Price
title_unmount,Unmount
title_unprocessed,Unprocessed
title_update,Update
title_update_rates,Update Rates
title_upload,Upload
title_upload_images,Upload Images
title_upload_new_vqmod,Upload a New vQmod
title_username,Username
title_users,Users
title_valid_from,Valid From
title_valid_to,Valid To
title_value,Value
title_values,Values
title_vat_registration_id,VAT Registration ID
title_version,Version
title_view_order,View Order
title_view_printable_order_copy,View printable order copy
title_vqmods,vQmods
title_webmail,Webmail
title_weight,Weight
title_width_height_length,Width x Height x Length
title_yes,Yes
title_zone,Zone
title_zones,Zones
title_zone_state_province,Zone/State/Province
tooltip_price_incl_tax,This field helps you calculate net price based on the store region tax. All prices input to database are always excluding tax.
warning_admin_folder_not_protected,Warning: Your admin folder is not .htaccess protected
warning_backup_translations,Warning: Always backup your translations before continuing.
warning_install_folder_exists,Warning: The installation directory is still available and should be deleted.
warning_mounting_points_will_be_replaced,Warning: All current mounting points will be replaced.
warning_must_login_page,You must be logged in to view the page.
warning_unsaved_changes,"There are unsaved changes, do you wish to continue?"
warning_your_customer_information_unsaved,Your customer information contains unsaved changes.
